,3D EPE,axis error,trans error,total frames,keyframe,trajectory
fr1/rgbd_dataset_freiburg1_xyz_keyframe_1,0.5748389942592926,0.4423897991209397,0.7374493010360156,794,1,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_2,1.5542177125249734,1.1780473938819254,1.3430640262713474,397,2,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_3,6.088512342389687,3.845497227062291,1.5895043547281988,264,3,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_4,10.653316039260421,6.544813767880834,1.662679857514432,198,4,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_5,19.268784933145852,11.334254201908415,1.9449840804497136,158,5,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_6,26.95740939516602,15.898266810116619,2.0620988255056245,132,6,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_rpy_keyframe_1,0.7841651562575941,0.40856010248040026,0.26144661257487595,697,1,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_2,1.5365274580551482,0.760303671374406,0.5024695304064676,348,2,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_3,5.703389753962883,2.9474119692854144,0.7052277456938916,232,3,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_4,15.471263763818612,7.177855784299337,0.9249600447679538,174,4,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_5,24.504667270942022,11.630128533328076,1.0716364045188556,139,5,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_6,30.923043230171153,15.699117752642625,1.2954438867946636,116,6,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_360_keyframe_1,1.042204365115277,0.38931391298406937,0.7550145195411159,749,1,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_2,1.900062125230975,0.8698210458713085,1.4205806211314418,374,2,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_3,8.3432600780177,3.2515777280568727,1.8262699171601529,249,3,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_4,19.45093079260924,7.316634257451407,1.6710959457391423,187,4,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_5,28.30142574728585,10.50967183799463,1.798174254464973,149,5,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_6,43.34795226778595,16.50971999628449,2.0890234338660396,124,6,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_teddy_keyframe_1,1.3780394598618255,0.45106166358405764,0.9791446848526416,1409,1,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_2,3.2323999404153176,1.0826234801094472,1.536245028133139,704,2,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_3,10.59890065500056,3.437319522213346,1.7613368903421787,469,3,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_4,24.991501606101256,7.824886379663723,1.8704055662965402,352,4,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_5,37.55118301506171,11.556335921944937,2.1383926881397692,281,5,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_6,47.90420716083171,14.360919151863925,2.318354678274586,234,6,fr1/rgbd_dataset_freiburg1_teddy
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_1,0.6869243201663965,0.24590845991282392,0.41343022070083985,3581,1,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_2,1.3147866339572347,0.554019640009414,0.787766422001785,1790,2,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_3,6.368485030595974,2.371738321615529,1.0824903145874079,1193,3,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_4,16.645287454593927,5.922741418908696,1.3051193587079724,895,4,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_5,28.22458696284646,10.155996656283325,1.527304211357248,716,5,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_6,41.081609581745596,14.63519243109534,1.6833431727230244,596,6,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_rpy_keyframe_1,0.2816687329350719,0.1008189086362979,0.04616171749249629,3206,1,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_2,0.8938990394741048,0.37682879408283787,0.08487405687413406,1603,2,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_3,4.728481848040192,2.0183668921504916,0.12501338057215133,1068,3,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_4,13.762302754636385,5.686051766935415,0.1696718077594854,801,4,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_5,24.925510565902496,10.353201554838368,0.2166919635613151,641,5,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_6,34.70093213995807,14.396713534906555,0.25971955891715165,534,6,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_1,1.1633235359486314,0.30100576629389836,0.27105154802027553,2214,1,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_2,2.4621501598976745,0.753369296739956,0.4779204582044141,1107,2,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_3,8.540512830658493,2.7842134303606385,0.6592120928371393,738,3,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_4,19.39682222840778,6.465942338196299,0.9004551237880875,553,4,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_5,31.407285767494926,10.056541935474634,1.1866788301870153,442,5,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_6,46.39592919687029,14.573540327309265,1.6031544955299726,369,6,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_1,0.6327394507096488,0.2426931793148412,0.4684111708654819,789,1,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_2,1.9718229038484847,0.8245394564707099,0.8785404452919927,394,2,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_3,7.554976454672152,2.8311688155894923,1.0916872075409185,263,3,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_4,16.17569133289499,6.218504631552993,1.322087558780603,197,4,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_5,25.00760434907238,9.33265540463781,1.4920044073072756,157,5,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_6,37.27409886480629,14.505098188452244,1.6859128730876356,131,6,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_1,0.5821839704206797,0.3165683081264429,0.4249094031217834,1053,1,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_2,1.3104184391795917,0.7471752816215242,0.8016131908939678,526,2,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_3,5.088545775380612,2.856177104517806,1.0560317619820125,351,3,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_4,12.73722335335023,6.436016495660347,1.2522816981647973,263,4,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_5,20.343295677199162,10.785174779684496,1.485239999324438,210,5,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_6,27.7643435520253,14.952620091194861,1.5792347145532923,175,6,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_1,0.985559556633234,0.2758613196107666,0.6024356605132308,825,1,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_2,2.573444832142361,0.8045314780868703,1.0448053718065036,412,2,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_3,9.522946549156172,3.0145561945628065,1.3102265923199328,275,3,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_4,24.6671860012479,7.363465951648209,1.4744665183650232,206,4,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_5,33.304977974092424,10.4020085093392,1.849123380344474,165,5,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_6,50.7464495531698,14.756480647305752,1.9164826282908474,137,6,fr3/rgbd_dataset_freiburg3_walking_xyz
mean values of trajectories keyframe 1,0.8111647542307651,0.3174181420064538,0.4959454838718756,,1.0,
mean values of frames keyframe 1,0.7566178744108741,0.27328022556452247,0.4084021296097155,,1.0,
mean values of trajectories keyframe 2,1.8749729244725866,0.7951259538248401,0.8877879151015193,,2.0,
mean values of frames keyframe 2,1.7212795344479375,0.6922053208542497,0.7308080613905075,,2.0,
mean values of trajectories keyframe 3,7.2538011317874425,2.9358027205414685,1.1207000257763984,,3.0,
mean values of frames keyframe 3,6.923025920799911,2.6924194905573584,0.9395466787117132,,3.0,
mean values of trajectories keyframe 4,17.395152532692073,6.695691279219727,1.2553223479884035,,4.0,
mean values of frames keyframe 4,17.120023475077595,6.412187540347303,1.086386154407003,,4.0,
mean values of trajectories keyframe 5,27.28393222630433,10.611596933543389,1.4710230219655078,,5.0,
mean values of frames keyframe 5,27.789763185674193,10.47096267897147,1.2862305790389787,,5.0,
