,3D EPE,axis error,trans error,total frames,keyframe,trajectory
fr1/rgbd_dataset_freiburg1_xyz_keyframe_1,0.5731031477493991,0.4401277030206625,0.7376740995548728,794,1,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_2,1.0102229391668058,0.8268552065361262,1.3707038325445857,397,2,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_3,1.5301839899620973,1.1484533803083523,1.6752773929207858,264,3,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_4,2.100886737356301,1.4316480109676837,1.6677843555549368,198,4,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_5,2.531436200495338,1.6838472648557146,1.6838513181730514,158,5,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_6,2.9394491035914556,1.9165090639817264,1.6746965120105552,132,6,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_rpy_keyframe_1,0.7786968072132746,0.4019685642366972,0.26083175152166244,697,1,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_2,0.909343968267986,0.4883221252645244,0.5085838803567859,348,2,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_3,0.9039208445003545,0.5413381303323481,0.7401151047941249,232,3,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_4,1.2566378896108603,0.7197144992850844,0.9626791956326014,174,4,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_5,1.3287412450756046,0.8204654412595692,1.1832615894118068,139,5,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_6,1.5738334032056596,0.9607466578447779,1.299682347573629,116,6,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_360_keyframe_1,1.0371631118067937,0.3867532320816728,0.7570029835880222,749,1,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_2,1.2673478458079206,0.6068783025464454,1.4691649533821927,374,2,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_3,1.4299953546202984,0.8078444880036917,1.887604126699239,249,3,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_4,2.129032898116558,1.0190290742021595,1.8718608166340163,187,4,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_5,2.579737015399807,1.2269565738884929,1.8649087635950252,149,5,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_6,3.0419989924637543,1.495687671505055,1.7104492082463336,124,6,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_teddy_keyframe_1,1.3720133665729661,0.44875645090384353,0.9818787317234487,1409,1,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_2,1.9806928537946078,0.671466355991209,1.5519537874834815,704,2,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_3,2.4200763116016795,0.8456011580858985,1.746495815557686,469,3,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_4,3.1592799437930807,1.0573417384580661,1.7985481705760653,352,4,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_5,3.648712101236675,1.243419052159533,1.7202817053771062,281,5,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_6,3.9917924041406088,1.4060937133260671,1.6999108471577336,234,6,fr1/rgbd_dataset_freiburg1_teddy
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_1,0.6866697314856831,0.24568413622466045,0.41367690898816656,3581,1,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_2,0.9113214957718373,0.3753205399473016,0.8066948070114834,1790,2,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_3,1.0888822840364518,0.4893018817776344,1.1401085170314351,1193,3,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_4,1.3782683021991184,0.618124292557035,1.3771156395210589,895,4,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_5,1.5283179380144019,0.69945223229667,1.5039063826833876,716,5,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_6,1.7037326809497013,0.7675687001067011,1.6153179797577915,596,6,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_rpy_keyframe_1,0.2810982592329068,0.0990530451062148,0.045957080611113595,3206,1,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_2,0.3600150063642706,0.1294456831301571,0.08369704135501431,1603,2,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_3,0.42088009968176765,0.15343265455530727,0.12159837773454248,1068,3,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_4,0.45694571202280776,0.16713285363269675,0.16202199237162854,801,4,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_5,0.4915623670820199,0.1824899856813471,0.2019772393486932,641,5,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_6,0.529443355957796,0.19898831197902206,0.2389911168566879,534,6,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_1,1.1576310824920961,0.29674996758823485,0.26944250642269446,2214,1,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_2,1.2601593496269672,0.32802658675197643,0.4256356448928693,1107,2,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_3,1.3728765054199867,0.37898499184786555,0.5398147513501242,738,3,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_4,1.4125538611893835,0.3908458318920216,0.6158511744383787,553,4,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_5,1.5817267138406117,0.4588925885790347,0.6475353131652943,442,5,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_6,1.642080989583783,0.5034814838142336,0.7005984853947368,369,6,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_1,0.5868766379896173,0.2236968045148246,0.4567490183194336,789,1,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_2,0.8428012504570923,0.34766672106511126,0.9079107873541832,394,2,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_3,1.083900934765151,0.450813377820785,1.260544354715314,263,3,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_4,1.350828206644105,0.54075796529313,1.4533065645340923,197,4,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_5,1.6341935589636682,0.611064444799086,1.4823608573490552,157,5,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_6,1.8971097909752992,0.6761195164119714,1.405863405915354,131,6,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_1,0.5821184677174465,0.31678171561571267,0.42525006300330953,1053,1,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_2,0.7999543973599726,0.4973851490027567,0.8410213333028373,526,2,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_3,1.0088140465169242,0.6592342520463935,1.1530871906621993,351,3,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_4,1.2996030997523875,0.8082214223084172,1.4040528573520736,263,4,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_5,1.622359425001334,0.9294581718570184,1.5133069213646064,210,5,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_6,1.9602203612614955,1.0626126373684652,1.5270635124096381,175,6,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_1,0.9850215409233263,0.27581583397892484,0.6008874137557789,825,1,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_2,1.2936122768312168,0.3655813116039909,1.0899404426629753,412,2,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_3,1.6379872182892128,0.45535540505355065,1.3280971701553261,275,3,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_4,2.013411197259805,0.5546634174844627,1.3287497068799408,206,4,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_5,2.615370968018066,0.7493202921353295,1.3587517074704396,165,5,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_6,2.6004054366073905,0.8021449091390545,1.3322217671632304,137,6,fr3/rgbd_dataset_freiburg3_walking_xyz
mean values of trajectories keyframe 1,0.8040392153183511,0.3135387453271448,0.4949350557488503,,1.0,
mean values of frames keyframe 1,0.7520805188689513,0.2705222214946539,0.4078560986128923,,1.0,
mean values of trajectories keyframe 2,1.0635471383448676,0.4636947981839599,0.9055306510346408,,2.0,
mean values of frames keyframe 2,0.9764964033476834,0.3905366193743666,0.7396052286725943,,2.0,
mean values of trajectories keyframe 3,1.2897517589393925,0.5930359719831826,1.159274280162078,,3.0,
mean values of frames keyframe 3,1.16740266096266,0.4956868640784208,0.9590323807974616,,3.0,
mean values of trajectories keyframe 4,1.6557447847944409,0.7307479106080758,1.2641970473494795,,4.0,
mean values of frames keyframe 4,1.4501316436401708,0.6032472497978394,1.0750151485187691,,4.0,
mean values of trajectories keyframe 5,1.9562157533127524,0.8605366047511798,1.3160141797938467,,5.0,
mean values of frames keyframe 5,1.6780972121163646,0.7023170152950783,1.1311270643728184,,5.0,
mean values of trajectories keyframe 6,2.188006651873694,0.9789952665477075,1.320479518248569,,6.0,
mean values of frames keyframe 6,1.857829693806113,0.7899745294622655,1.1634568871103306,,6.0,
