,3D EPE,axis error,trans error,total frames,keyframe,trajectory
fr1/rgbd_dataset_freiburg1_xyz_keyframe_1,0.571492290562614,0.44004568499978797,0.7372687360783438,794,1,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_2,1.0104834369526852,0.8288227822308393,1.3669779029368687,397,2,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_3,1.649655543345337,1.239261823884964,1.6270648269600123,264,3,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_4,2.343266500710425,1.583044284294154,1.7561205115987724,198,4,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_5,4.560378869064152,2.798419379188512,1.7824108757688721,158,5,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_6,7.356141527998261,4.390034030672588,1.6544733319085827,132,6,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_7,10.697202405900555,6.474928478056192,1.8951342888258857,113,7,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_xyz_keyframe_8,12.96347987537056,8.024709604129821,1.8189613782621996,99,8,fr1/rgbd_dataset_freiburg1_xyz
fr1/rgbd_dataset_freiburg1_rpy_keyframe_1,0.7787889213001602,0.40234017188618476,0.26093288895106087,697,1,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_2,0.9382023151238695,0.5013383344072513,0.509249655584719,348,2,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_3,1.0085135146349284,0.5835299592353693,0.7333434366642152,232,3,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_4,2.769264737451877,1.4055609138478693,0.9480194924278827,174,4,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_5,4.601294601590728,2.209571046866291,1.120280974842742,139,5,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_6,8.16672371463561,4.423615503673842,1.2130145189264019,116,6,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_7,12.106831179169768,5.6708866591513445,1.345080636545188,99,7,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_rpy_keyframe_8,18.69598388586236,8.488229207445682,1.43705370936987,87,8,fr1/rgbd_dataset_freiburg1_rpy
fr1/rgbd_dataset_freiburg1_360_keyframe_1,1.0383475324119105,0.387239249537941,0.7566977617609376,749,1,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_2,1.2781659674078703,0.6119367239597896,1.4523144790692315,374,2,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_3,1.6093010361489641,0.8769571717991814,1.8833834081364564,249,3,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_4,2.993603821913587,1.3748839281382856,1.9031765984675104,187,4,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_5,6.978844716869944,2.9522738960408796,1.8047933602680595,149,5,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_6,12.498579979423553,5.12370333998669,1.682030888121282,124,6,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_7,17.198805089726626,6.947343291073312,1.7444314463412232,107,7,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_360_keyframe_8,24.513916274712933,8.451622955662748,1.7518918424586873,93,8,fr1/rgbd_dataset_freiburg1_360
fr1/rgbd_dataset_freiburg1_teddy_keyframe_1,1.3742603490539251,0.4487626628773303,0.9782882624310867,1409,1,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_2,1.9792325301585316,0.6758170881463329,1.5573679840351609,704,2,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_3,2.7027188809211258,0.9442328067280121,1.804782652604167,469,3,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_4,4.866011292985852,1.6059585581878448,1.8143835959067058,352,4,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_5,8.095573561160005,2.72405666411963,1.769504250645359,281,5,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_6,14.954211910326892,4.72130520982828,1.8445655664739509,234,6,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_7,20.665622472447986,6.2259261312575385,1.9041635255927023,201,7,fr1/rgbd_dataset_freiburg1_teddy
fr1/rgbd_dataset_freiburg1_teddy_keyframe_8,26.24919830202337,8.302512531515115,2.218428166749866,176,8,fr1/rgbd_dataset_freiburg1_teddy
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_1,0.6872921536235729,0.24587801920586022,0.4141874595119578,3581,1,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_2,0.9091178308491134,0.3738825010922618,0.8012362285771611,1790,2,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_3,1.1222551205396116,0.4943347877057194,1.1111882060080414,1193,3,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_4,1.7496323981387385,0.7891271321813552,1.3295439700888698,895,4,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_5,3.8015167677222865,1.5841578123394013,1.4827070059214118,716,5,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_6,7.868602743349664,2.991910942706817,1.6210632527079285,596,6,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_7,12.273568619810838,4.509744331108192,1.6741284992422365,511,7,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_desk_with_person_keyframe_8,17.663028528973758,6.441564523003676,1.8598449004675215,447,8,fr2/rgbd_dataset_freiburg2_desk_with_person
fr2/rgbd_dataset_freiburg2_rpy_keyframe_1,0.2810958934539269,0.09989112266320595,0.045929996482661786,3206,1,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_2,0.3605905739080782,0.1305953760499793,0.08395810329352471,1603,2,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_3,0.4526121824584537,0.16758069888530347,0.1224010573798282,1068,3,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_4,0.8463061331453315,0.34071394333922816,0.16389093310790576,801,4,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_5,2.6268699910261417,1.1375656324100603,0.205996563491282,641,5,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_6,4.612103748020379,2.0033693323409505,0.24146154312356308,534,6,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_7,7.999303082455871,3.599080703546773,0.27866886644502165,458,7,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_rpy_keyframe_8,15.82528955822636,6.5948873603312315,0.3329618272582593,400,8,fr2/rgbd_dataset_freiburg2_rpy
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_1,1.1643059657378267,0.2970286512402586,0.2703779339453473,2214,1,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_2,1.3015644799813773,0.3406777713277519,0.4368767993849486,1107,2,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_3,1.5427341660879663,0.43466581064430565,0.5649791018508964,738,3,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_4,2.586671687504925,0.8043684856006523,0.6992536919766927,553,4,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_5,5.50864438395431,1.7913017754533125,0.8199269883482793,442,5,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_6,9.858427419259213,3.298643834688713,0.9780723988605405,369,6,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_7,13.829043473973037,4.459376120260468,1.0796389888035935,316,7,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr2/rgbd_dataset_freiburg2_pioneer_slam3_keyframe_8,21.866065983851804,7.021486207031763,1.4680778133688235,276,8,fr2/rgbd_dataset_freiburg2_pioneer_slam3
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_1,0.5868086353958324,0.22556195728791592,0.4585782011302633,789,1,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_2,0.9059473897890675,0.36719340666270583,0.8978784649370198,394,2,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_3,1.343703406956755,0.5424027633050363,1.1886326690313331,263,3,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_4,2.005747065236461,0.7843340190611938,1.3487383160978876,197,4,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_5,4.436032607436631,1.6662475497719333,1.4435619528195525,157,5,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_6,7.9773677569878005,3.2816562888362717,1.5490378131414586,131,6,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_7,12.598130037076771,4.892892244029778,1.617050190543523,112,7,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_notexture_far_keyframe_8,20.612364090332875,7.44199383347042,1.8182186491796937,98,8,fr3/rgbd_dataset_freiburg3_structure_notexture_far
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_1,0.5829121638470836,0.316577965896059,0.42436377102772155,1053,1,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_2,0.807062898848397,0.4965939092227898,0.8318871237522559,526,2,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_3,1.0365246857637194,0.6539149711597738,1.0977612756834627,351,3,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_4,2.077983125128886,1.1736249423459828,1.3186235561459627,263,4,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_5,3.8565602164072477,2.0858570151910274,1.398008109979509,210,5,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_6,5.802323925109314,3.07849283029608,1.3902556275882358,175,6,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_7,9.725169733632356,5.0307740010724755,1.615294101027151,150,7,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_structure_texture_near_keyframe_8,13.194688104043308,6.725669427320933,1.7111480397124283,131,8,fr3/rgbd_dataset_freiburg3_structure_texture_near
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_1,0.9836292793325176,0.2757777506858708,0.6017651171264747,825,1,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_2,1.3016306204908952,0.3713002232422662,1.0675285942004813,412,2,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_3,1.6954450260170482,0.49336691314284153,1.3308575318978084,275,3,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_4,2.892471844493185,0.9204308606556999,1.4070525741966406,206,4,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_5,5.277016286907548,1.5353474628260821,1.602760669563643,165,5,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_6,11.949865814862623,3.7087578862674704,1.6121350963817516,137,6,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_7,16.342410266311823,5.046298094867714,1.6846515220375016,117,7,fr3/rgbd_dataset_freiburg3_walking_xyz
fr3/rgbd_dataset_freiburg3_walking_xyz_keyframe_8,22.637071635447516,6.708389119658347,1.901982918164684,103,8,fr3/rgbd_dataset_freiburg3_walking_xyz
mean values of trajectories keyframe 1,0.804893318471937,0.3139103236280415,0.49483901284458554,,1.0,
mean values of frames keyframe 1,0.7533517407088137,0.2709002644236792,0.40782395152924733,,1.0,
mean values of trajectories keyframe 2,1.0791998043509885,0.4698158116341967,0.9005275335771371,,2.0,
mean values of frames keyframe 2,0.9879790675013479,0.3948700976891627,0.7371705567972975,,2.0,
mean values of trajectories keyframe 3,1.4163463562873908,0.6430247706490506,1.146439416621622,,3.0,
mean values of frames keyframe 3,1.2704850723483452,0.5333407552567976,0.9510629520831277,,3.0,
mean values of trajectories keyframe 4,2.5130958606709264,1.0782047067652267,1.2688803240014832,,4.0,
mean values of frames keyframe 4,2.2033955324584507,0.9036051797399558,1.0761846206967736,,4.0,
mean values of trajectories keyframe 5,4.974273200213899,2.048479823420713,1.342995075164871,,5.0,
mean values of frames keyframe 5,4.542968209362448,1.8190923771042327,1.1590029631915826,,5.0,
mean values of trajectories keyframe 6,9.104434853997331,3.7021489199297704,1.3786110037233692,,6.0,
mean values of frames keyframe 6,8.420464666774002,3.288720287917814,1.2254255930394657,,6.0,
mean values of trajectories keyframe 7,13.343608636050561,5.285725005442378,1.4838242065404026,,7.0,
